feature,chi2_statistic,p_value,degrees_of_freedom,significant
hypertension,81.57314462043591,1.688936253410575e-19,1,True
ever_married,58.86780922483486,1.6862856191673454e-14,1,True
work_type,49.1591485868476,5.40903546949726e-10,4,True
smoking_status,29.225727075498273,2.0077041756108283e-06,3,True
Residence_type,1.0749713079092142,0.29982523877153633,1,False
gender,0.340002536046177,0.5598277580669416,1,False
